metabolite,pval,padj,py.value,comparison,FC,log2FC
"N6,N6,N6-Trimethyl-L-lysine",0.438,0.493619048,0.30660809,PBS vs A. fumigatus wt + Cortisone acetate,0.94275465,-0.085045734
O-Acetylserine,0.000152,0.000634824,3.197346985,PBS vs A. fumigatus wt + Cortisone acetate,0.731172746,-0.451715799
Ornithine,0.000247,0.000923,3.034798299,PBS vs A. fumigatus wt + Cortisone acetate,0.703123839,-0.508149287
Phenylalanine,0.169,0.222203704,0.653248706,PBS vs A. fumigatus wt + Cortisone acetate,0.875635506,-0.191597639
Phosphocholine,0.000944,0.002914087,2.535497493,PBS vs A. fumigatus wt + Cortisone acetate,2.124627874,1.087210177
Proline,0.00435,0.009651563,2.015402373,PBS vs A. fumigatus wt + Cortisone acetate,0.875328425,-0.192103675
Propionylcarnitine,0.169,0.222203704,0.653248706,PBS vs A. fumigatus wt + Cortisone acetate,1.494670447,0.579827427
Prostaglandin E2,0.499,0.528791045,0.276715908,PBS vs A. fumigatus wt + Cortisone acetate,0.878889785,-0.186245835
Pyroglutamic acid,0.805,0.828333333,0.081794862,PBS vs A. fumigatus wt + Cortisone acetate,1.015080704,0.021594433
Serine,0.0302,0.052297561,1.281518565,PBS vs A. fumigatus wt + Cortisone acetate,0.896230826,-0.158057747
Sugar alcohol,0.0173,0.032323684,1.490479145,PBS vs A. fumigatus wt + Cortisone acetate,0.882658701,-0.180072398
Taurine,0.00238,0.006035,2.219322726,PBS vs A. fumigatus wt + Cortisone acetate,1.154916424,0.207788454
Thiamine,0.00343,0.007855806,2.104809225,PBS vs A. fumigatus wt + Cortisone acetate,1.334592425,0.41639922
Threonine,0.214,0.266561404,0.574202734,PBS vs A. fumigatus wt + Cortisone acetate,0.932716127,-0.100490032
Thymidine,0.24,0.279344262,0.553860245,PBS vs A. fumigatus wt + Cortisone acetate,1.143949469,0.194023326
Thymine,0.33,0.377903226,0.422619401,PBS vs A. fumigatus wt + Cortisone acetate,1.099014246,0.136210088
Trigonelline,7.39E-09,2.62E-07,6.581127209,PBS vs A. fumigatus wt + Cortisone acetate,0.210390327,-2.24885972
Trimethylamine N-Oxide,4.21E-07,7.47E-06,5.126519547,PBS vs A. fumigatus wt + Cortisone acetate,0.355178255,-1.493384837
Tyrosine,0.0545,0.084119565,1.075102981,PBS vs A. fumigatus wt + Cortisone acetate,0.863867668,-0.211117766
Uric acid,0.08,0.115918367,0.935847744,PBS vs A. fumigatus wt + Cortisone acetate,0.924480564,-0.113285106
Uridine,2.45E-05,0.00017395,3.759575567,PBS vs A. fumigatus wt + Cortisone acetate,1.591636806,0.670511166
VLH,0.00685,0.014304412,1.844529997,PBS vs A. fumigatus wt + Cortisone acetate,0.368951884,-1.438495412
Xanthine,2.73E-06,2.77E-05,4.557677044,PBS vs A. fumigatus wt + Cortisone acetate,0.529016655,-0.918614951
Xanthosine,7.81E-05,0.000396079,3.402218653,PBS vs A. fumigatus wt + Cortisone acetate,0.425948721,-1.231248336
Xylazine,0.831,0.842871429,0.074238668,PBS vs A. fumigatus wt + Cortisone acetate,0.85484435,-0.226266337
dCytidine,0.00304,0.007194667,2.142989322,PBS vs A. fumigatus wt + Cortisone acetate,0.820740729,-0.285001547
dInosine,0.499,0.528791045,0.276715908,PBS vs A. fumigatus wt + Cortisone acetate,0.934488598,-0.097751034
dUridine,0.00184,0.004838519,2.315287592,PBS vs A. fumigatus wt + Cortisone acetate,0.646193769,-0.629961257
β-Alanine,0.458,0.50809375,0.294056147,PBS vs A. fumigatus wt + Cortisone acetate,0.973258617,-0.039104882
γ-Aminobutyric acid,0.00124,0.0035216,2.453259975,PBS vs A. fumigatus wt + Cortisone acetate,0.765932077,-0.384711635
1-Methyl Adenosine,9.48E-06,8.41E-05,4.075023301,PBS vs A. fumigatus wt + Cortisone acetate + Voriconazol,0.465600473,-1.10283557
1-Methylhistidine,0.00152,0.005396,2.267928059,PBS vs A. fumigatus wt + Cortisone acetate + Voriconazol,1.310131968,0.38971214
"10-(Hydroxymethyl)-4-methyl-8,11-dioxa-2,6-diazatricyclo[7.2.1.02,7]dodeca-3,6-dien-5-one",0.123,0.203093023,0.692304995,PBS vs A. fumigatus wt + Cortisone acetate + Voriconazol,0.78754371,-0.344568097
2'-Deoxycytidine 5'-monophosphate (dCMP),0.576,0.67042623,0.173649003,PBS vs A. fumigatus wt + Cortisone acetate + Voriconazol,1.134971512,0.182656086
2-Amino-4-methylpyrimidine,0.313,0.419301887,0.377473183,PBS vs A. fumigatus wt + Cortisone acetate + Voriconazol,1.064914776,0.090737978
2-Deoxyribose 5-phosphate,0.0177,0.036961765,1.432247302,PBS vs A. fumigatus wt + Cortisone acetate + Voriconazol,0.828873791,-0.270775649
2-Hydroxybutyric acid,0.185,0.285543478,0.544327755,PBS vs A. fumigatus wt + Cortisone acetate + Voriconazol,1.189668306,0.250559389
Acetyl-β-methylcholine,0.216,0.312979592,0.50448398,PBS vs A. fumigatus wt + Cortisone acetate + Voriconazol,0.795061453,-0.33086172
Acetylcarnitine,1.56E-05,8.52E-05,4.069560405,PBS vs A. fumigatus wt + Cortisone acetate + Voriconazol,1.435472192,0.521525383
