seqID,barcode,libType,extID,libID,sampleID,extractionMethod,concExt,concAmp,concLib,tissueConc,sampleVol,sampleTreatment,notes,sampleName,sampleType,sampleGroup,sampleGroup2,rawReads,filtReads,OTUs,ratioPhylum,ratioClass,ratioOrder,ratioFamily,ratioGenus,ratioSpecies
18100FL-24-07-06,151,abV4-C,EXT-CP941b-54-B,LIB-CP941b-54-B-1,SA-CP941b-54,molzym ultra deep microbiome,0.460846483,0.092532507,1.107856392,66.67,0.75,A fumigatus wt_Cortisone acetate,,55,lung tissue,4,4,37831,32437,101,101,101,101,101,88,10
18100FL-24-07-05,150,abV4-C,EXT-CP941b-53-B,LIB-CP941b-53-B-1,SA-CP941b-53,molzym ultra deep microbiome,0.208917072,0.378542072,4.870812678,66.67,0.75,A fumigatus wt_Cortisone acetate,,54,lung tissue,4,4,52023,44399,65,65,65,65,64,60,4
18100FL-24-06-49,149,abV4-C,EXT-CP941b-52-B,LIB-CP941b-52-B-1,SA-CP941b-52,molzym ultra deep microbiome,0.625522293,0.075708414,0.221571278,66.67,0.75,A fumigatus wt_Cortisone acetate,,53,lung tissue,4,4,52603,43362,123,123,123,123,123,106,6
18100FL-24-06-48,148,abV4-C,EXT-CP941b-51-B,LIB-CP941b-51-B-1,SA-CP941b-51,molzym ultra deep microbiome,0.532124072,0.08412046,0.562064994,66.67,0.75,A fumigatus wt_Cortisone acetate,,52,lung tissue,4,4,67266,55094,160,159,159,159,157,142,9
18100FL-24-06-47,147,abV4-C,EXT-CP941b-50-B,LIB-CP941b-50-B-1,SA-CP941b-50,molzym ultra deep microbiome,0.642727228,0.08291874,0.230333984,66.67,0.75,A fumigatus wt_Cortisone acetate,,51,lung tissue,4,4,41128,29809,98,98,98,98,98,83,4
18100FL-24-06-46,146,abV4-C,EXT-CP941b-49-B,LIB-CP941b-49-B-1,SA-CP941b-49,molzym ultra deep microbiome,0.4411837,0.070901531,0.33173101,66.67,0.75,A fumigatus wt_Cortisone acetate,,50,lung tissue,4,4,57280,47313,153,153,153,153,153,141,5
18100FL-24-07-04,145,abV4-C,EXT-CP941b-48-B,LIB-CP941b-48-B-1,SA-CP941b-48,molzym ultra deep microbiome,0.462075407,0.092532507,1.400781133,66.67,0.75,A fumigatus wt_Cortisone acetate,,49,lung tissue,4,4,48172,42909,105,105,105,105,101,88,4
18100FL-24-07-03,143,abV4-C,EXT-CP941b-47-B,LIB-CP941b-47-B-1,SA-CP941b-47,molzym ultra deep microbiome,0.646414,0.109356599,1.892744479,66.67,0.75,A fumigatus wt_Cortisone acetate,,48,lung tissue,4,4,31521,26507,129,129,129,129,128,117,6
18100FL-24-06-44,142,abV4-C,EXT-CP941b-46-B,LIB-CP941b-46-B-1,SA-CP941b-46,molzym ultra deep microbiome,0.576365335,0.090129065,0.742326373,66.67,0.75,A fumigatus wt_Cortisone acetate,,47,lung tissue,4,4,78646,63477,211,211,211,210,204,190,9
18100FL-24-06-43,141,abV4-C,EXT-CP941b-45-B,LIB-CP941b-45-B-1,SA-CP941b-45,molzym ultra deep microbiome,0.550557931,0.081717019,0.852486105,66.67,0.75,A fumigatus wt_Cortisone acetate,,46,lung tissue,4,4,105537,89500,114,114,114,114,114,99,4
18100FL-24-06-42,140,abV4-C,EXT-CP941b-44-B,LIB-CP941b-44-B-1,SA-CP941b-44,molzym ultra deep microbiome,0.304773141,0.093734227,0.440638926,66.67,0.75,PBS_Cortisone acetate_Voriconazol,,45,lung tissue,3,3,51357,42033,144,144,144,144,141,133,7
18100FL-24-06-41,139,abV4-C,EXT-CP941b-43-B,LIB-CP941b-43-B-1,SA-CP941b-43,molzym ultra deep microbiome,0.533352996,0.08291874,0.66596565,66.67,0.75,PBS_Cortisone acetate_Voriconazol,,44,lung tissue,3,3,46200,32816,179,179,179,179,178,160,9
18100FL-24-07-02,138,abV4-C,EXT-CP941b-42-B,LIB-CP941b-42-B-1,SA-CP941b-42,molzym ultra deep microbiome,0.650100772,0.112961761,1.405788393,66.67,0.75,PBS_Cortisone acetate_Voriconazol,,43,lung tissue,3,3,27736,21337,150,150,150,150,149,139,7
18100FL-24-06-40,137,abV4-C,EXT-CP941b-41-B,LIB-CP941b-41-B-1,SA-CP941b-41,molzym ultra deep microbiome,0.607088433,0.11055832,0.882529668,66.67,0.75,PBS_Cortisone acetate_Voriconazol,,42,lung tissue,3,3,86621,64532,152,152,152,152,152,150,6
18100FL-24-06-39,136,abV4-C,EXT-CP941b-40-B,LIB-CP941b-40-B-1,SA-CP941b-40,molzym ultra deep microbiome,0.524750528,0.046867114,0.150217816,66.67,0.75,PBS_Cortisone acetate_Voriconazol,,41,lung tissue,3,3,48527,34887,188,187,187,187,180,171,10
18100FL-24-06-38,135,abV4-C,EXT-CP941b-39-B,LIB-CP941b-39-B-1,SA-CP941b-39,molzym ultra deep microbiome,0.49402743,0.052875718,0.242852136,66.67,0.75,PBS_Cortisone acetate_Voriconazol,,40,lung tissue,3,3,26637,18551,137,137,137,136,136,129,7
18100FL-24-06-37,134,abV4-C,EXT-CP941b-38-B,LIB-CP941b-38-B-1,SA-CP941b-38,molzym ultra deep microbiome,0.235953399,0.056480881,0.133944219,66.67,0.75,PBS_Cortisone acetate_Voriconazol,,39,lung tissue,3,3,46635,33788,157,157,157,157,156,147,5
18100FL-24-06-36,133,abV4-C,EXT-CP941b-37-B,LIB-CP941b-37-B-1,SA-CP941b-37,molzym ultra deep microbiome,0.795113798,0.054077439,0.145210555,66.67,0.75,PBS_Cortisone acetate_Voriconazol,,38,lung tissue,3,3,39723,28919,154,154,154,154,147,138,6
18100FL-24-06-35,132,abV4-C,EXT-CP941b-36-B,LIB-CP941b-36-B-1,SA-CP941b-36,molzym ultra deep microbiome,0.548100084,0.052875718,0.175254118,66.67,0.65,PBS_Cortisone acetate_Voriconazol,less volume,37,lung tissue,3,3,32936,25692,140,140,140,140,139,130,7
